run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.06117,0.03286,0,0,0,0,0.19842,0.14327,0.25581,0.48384,0,0.00519,0,0.35678,0.32335,0.2882,0,0,0,0,0.03344,0,0.1085,0.1085,0,0,0,0,0.00611,0.0064,0,0.14927,0.14844,0.14844,0.14204,0.14204,0.14204,0,0,0,0.14586,0.05309,0.09746,0.0652,0.32335,0.21564,0.2882,0.10761,0.1085,0.08962,0,0,0,0.0064,0.00676,0,0.14927,0.14844,0.14844,0.14204,0.14204,0.14204
0.13725,0.17166,0.2814,0,0,0,0.05848,0.29706,0.36312,0.18114,0.03459,0.10326,0.32448,0.24104,0.24111,0.23898,0.27089,0,0.10756,0.19815,0.57669,0.23317,0.20054,0.23008,0.40557,0.16697,0.24165,0.22105,0.39607,0.39523,0.31852,0.36462,0.40884,0.26774,0.15078,0.07635,0.17061,0.2438,0.24859,0.24541,0.37,0.39713,0.38336,0.12859,0.24111,0.21368,0.23898,0.2093,0.21083,0.20646,0.26883,0.3354,0.37528,0.40546,0.39577,0.28893,0.39741,0.4151,0.29868,0.15078,0.17061,0.00983
0.40502,0.27825,0.16097,0.54526,0.54526,0.54526,0.77517,0.61373,0.62068,0.57991,0.34102,0.5344,0.64984,0.50389,0.50389,0.50389,0.40502,0,0.39589,0.40502,0.27825,0.43703,0.442,0.43703,0.64548,0,0.41773,0.43703,0.27825,0.19295,0.27825,0.58919,0.13386,0.35173,0.14953,0.28356,0,0,0,0,0.61373,0.56479,0.57662,0.19872,0.50389,0.50389,0.50389,0.04367,0.47795,0,0.44387,0.27927,0.24636,0.36457,0.19295,0.27825,0.58919,0.13386,0.35173,0.14953,0,0
0.15741,0.18397,0,0.08275,0.08275,0.08275,0.25928,0.07228,0.03263,0.12913,0.06211,0.13792,0.29261,0,0,0,0.08314,0.18982,0.0586,0.09241,0.45451,0.11048,0.1418,0.2243,0.10055,0.08692,0.19848,0.24312,0.07228,0.07994,0.14513,0.293,0.17959,0.16925,0.02062,0.01777,0,0,0,0,0.05881,0.1029,0.15821,0.23011,0,0,0,0.1381,0.1418,0.07011,0.01213,0,0.06522,0.11265,0.12456,0.14891,0.293,0.17959,0.16925,0.02062,0,0
0,0,0,0.16199,0.16199,0.16199,0.16199,0.2762,0.32427,0.59907,0,0.08558,0.07422,0.75624,0.75624,0.59907,0,0.09145,0,0,0.12837,0.12837,0.25674,0.16199,0,0.12837,0.12837,0.12837,0.11057,0.09932,0.12837,0.12837,0,0.12837,0.06743,0.06938,0,0,0,0,0.27249,0.31271,0.31711,0,0.75624,0.79316,0.59907,0.25674,0.25674,0.06281,0.09145,0,0,0.12837,0.09932,0.12837,0.12837,0,0.12837,0.06743,0,0
0.15445,0.13465,0,0,0,0,0.08254,0,0,0,0,0,0.16897,0.08102,0.08102,0.08185,0,0,0.02997,0.02997,0.25047,0.03291,0.01732,0,0.02848,0.25333,0.09787,0.10634,0.03086,0.04468,0.11454,0.22221,0.20847,0.061,0.19137,0.19054,0.09257,0.08287,0.06337,0.0971,0,0,0,0,0.08102,0.07871,0.08185,0.01574,0,0.01498,0.14069,0.17138,0.15564,0.0162,0.08254,0.1235,0.22221,0.20847,0.061,0.19137,0.09257,0.09329
0.08729,0.08535,0.07102,0,0,0,0,0.07742,0,0.07102,0.40088,0.18392,0.84921,0,0,0,0.09524,0.373,0,0,0.29945,0.15718,0.12437,0.08962,0.04106,0.52987,0.71422,0.96766,0.7045,0.81853,0.93422,0.21457,0.07569,0.03234,0,0,0,0.16064,0.13219,0.16064,0.06785,0.06117,0.05495,0.53061,0,0,0,0.08962,0.08962,0.04735,0,0.03234,0,0.51174,0.71658,0.5888,0.21457,0.07569,0.03234,0,0,0
0,0,0,0.7598,0.7598,0.7598,0,0.55377,0.55377,0.14204,0.54536,0.54536,0,0.21785,0.21386,0.11872,0,0,0,0,0,0,0,0,0,0,0,0,0.37225,0.35916,0,0.14204,0.14204,0.14204,0,0,0,0,0,0,0.65098,0.59812,0.59812,0.54366,0.21386,0.08962,0.11872,0,0,0,0,0,0,0.45104,0.40826,0,0.14204,0.14204,0.14204,0,0,0
0.21597,0.24013,0.17706,0.04348,0.04348,0.04348,0.29118,0.26215,0.15382,0.20996,0.12911,0.07826,0.065,0.10873,0.12821,0.1739,0.25815,0,0.16401,0.13243,0.42198,0.21986,0.09091,0.08965,0.09408,0.03475,0.0386,0,0.2903,0.3168,0.1473,0.31481,0.30565,0.28593,0.13702,0.23922,0.15297,0.06566,0.07102,0.06774,0.23856,0.24345,0.2556,0.15239,0.12821,0.10527,0.1739,0.01321,0.07471,0,0.10092,0.03739,0.09038,0.35987,0.28567,0.16851,0.30229,0.14633,0.28931,0.13702,0.15297,0.24766
0.15659,0.16108,0.32042,0,0.05263,0.05263,0.14321,0.14184,0.26341,0.25481,0.29972,0.23702,0.28539,0.35861,0.36286,0.44538,0.04861,0.02964,0.02922,0.16276,0.09408,0.33307,0.06442,0.07285,0.11893,0.33587,0.01878,0,0.38935,0.33227,0.24882,0.16042,0.25201,0.17944,0.15212,0.17122,0.06035,0.30722,0.27568,0.30931,0.22135,0.19277,0.29815,0.2869,0.36286,0.35436,0.44538,0.05034,0.04296,0.12605,0.4621,0.34136,0.26186,0.38485,0.36635,0.24539,0.24256,0.26485,0.18033,0.15212,0.06035,0.10958
0.29415,0.23106,0.25831,0.13162,0.13162,0.13162,0.46206,0.44793,0.43178,0.41782,0.08106,0.39217,0.51217,0.43178,0.43178,0.41122,0.37833,0,0,0,0.63115,0.46422,0.03018,0.18505,0.56735,0.48823,0.34158,0.47254,0.44422,0.44308,0.43594,0.66691,0.45674,0.43178,0.59832,0.5291,0.3701,0.19562,0.19562,0.19468,0.44793,0.44793,0.44793,0.06724,0.43178,0.43178,0.41122,0,0.18505,0.12337,0.33411,0.25089,0.32836,0.44308,0.41404,0.47203,0.66691,0.45674,0.43178,0.59832,0.3701,0.3701
0.48923,0.55872,0.26873,1,1,1,0.45872,0.91148,0.68527,0.81316,0.76658,0.6629,0.85796,0.62128,0.62714,0.60646,0.5835,0.16823,0.62724,0.71382,0.44256,0.55841,0.53291,0.49793,0,0.88885,0.57049,0.95265,0.70726,0.71071,0.59702,0.82499,0.74823,0.76299,0.44997,0.46793,0.15719,0.48616,0.39013,0.34128,0.84327,0.79006,0.81711,0.83174,0.62714,0.61241,0.60646,0.45019,0.50698,0.40215,0.32097,0.39886,0.40542,0.71684,0.74291,0.5786,0.82499,0.74823,0.76299,0.44997,0.15719,0.32634
0.21847,0.17624,0.332,0.10575,0.10575,0.10575,0.2146,0.19891,0.27981,0,0.2496,0.52011,0.41246,0.34162,0.34162,0.26402,0.42637,0.16418,0.16617,0.25426,0.19099,0.48,0.30215,0.23089,0.39378,0.16278,0.24137,0.2267,0.52,0.43102,0,0.41761,0.51175,0.31348,0.31381,0.29995,0.28828,0.53073,0.60705,0.52946,0.22576,0.15187,0.27977,0.21719,0.34162,0.32259,0.26402,0,0.26959,0.07267,0.31921,0.29847,0.40523,0.52808,0.43077,0.36439,0.42173,0.51615,0.31272,0.31381,0.28828,0.27087
0.44793,0.28866,0.28409,0,0,0,0.80276,0.25014,0.25014,0.03344,0,0.24258,0.60261,0.31775,0.31904,0.61022,0.13967,0,0.06117,0.15839,0.63316,0.14032,0.37294,0.41573,0.21021,0.63906,0.07801,0.60431,0.53277,0.58471,0.66295,0.14536,0.24733,0.24984,0.17764,0.33826,0,0.13323,0.08021,0.10891,0.36889,0.23481,0.23481,0,0.31904,0.35887,0.61022,0.30974,0.423,0.29905,0.19909,0.16898,0.17512,0.53421,0.58471,0.66357,0,0.17668,0.21385,0.17764,0,0
0.16813,0.16813,0,0,0,0,0,0.0919,0,0,0,0,0,0,0,0,0.10889,0,0,0,0.13906,0.09551,0.09033,0.10253,0,0,0,0,0,0,0,0.09362,0,0,0,0,0,0,0,0,0,0.12315,0.09992,0,0,0.09551,0,0,0,0,0.11285,0.13013,0.1055,0,0,0,0.09362,0,0,0,0,0
