run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61
0.05,0.05,0.0909,0.125,0.0156,0.3333,0.25,0.0033,0.0263,0.0073,0.05,0.1667,0.2,0.0106,0.0037,0.0038,0.0082,0.0097,0.0149,0.0046,0.0154,0.0042,0,0.0083,0.0037,0.0083,0.1111,0.0323,0.0056,0.0286,0.0385,0.0333,0.0025,0.0011,0.0909,0.05,0,0,0.0667,0.1429,0.0073,0.0066,0.125,0,0.0027,0.0027,0.0077,0.0082,0.1111,0.0667,0.006,0.0017,0.0043,0.1429,0.0435,0.0909,0.0909,0.0714,0.0769,0.008,0.0069
0.0987,0.0983,0.0958,0.056,0.0878,0.1012,0.1745,0.1577,0.0893,0.054,0.1938,0.2262,0.1816,0.1032,0.0558,0.0612,0.0906,0.1238,0.1161,0.1,0.1148,0.0998,0.0213,0.058,0.0426,0.1384,0.0864,0.0891,0.0714,0.1048,0.1028,0.0997,0.0558,0.0395,0.0916,0.0897,0.012,0,0.0843,0.111,0.0762,0.0843,0.1269,2e-04,0.0739,0.0739,0.1772,0.1976,0.1629,0.1794,0.108,0.0488,0.0604,0.1306,0.1425,0.1217,0.0974,0.0141,0.0147,0.0689,0.1005
0.2075,0.1501,0.0645,0.0108,0.081,0.0325,0.1336,0.0569,0.21,0.2913,0.1943,0.195,0.0439,0.2436,0.2531,0.2557,0.1602,0.1866,0.0471,0.0677,0.0481,0.0633,0.0605,0.191,0.1714,0.287,0.0053,0.0149,0.1249,0.1058,0.2026,0.265,0.2972,0.173,0.0677,0.1002,0.0025,0,0.0372,0.0559,0.1294,0.231,0.2432,0,0.0301,0.0277,0.1391,0.1145,0.1442,0.1634,0.1122,0.0765,0.0796,0.1228,0.17,0.105,0.0682,0.0991,0.0702,0.2134,0.1269
0.0238,0.0466,0.2631,0.2554,0.091,0.1472,0.1662,0.1749,0.1681,0.1332,0.0924,0.1379,0.0974,0.0446,0.1622,0.1709,0.1637,0.1972,0.1005,0.0336,0.0743,0.0344,0.0089,0.1533,0.1415,0.2364,0.0179,0.0203,0.0614,0.0411,0.1824,0.138,0.0401,0.015,0.048,0.0526,0.0013,0,0.0788,0.1477,0.0919,0.1229,0.1199,0,0.0788,0.0663,0.3081,0.2888,0.241,0.2689,0.059,0.0946,0.1133,0.2072,0.1387,0.1247,0.0821,0.0824,0.1144,0.0599,6e-04
0.3282,0.3282,0.4432,0.3919,0.0485,0.2289,0.1669,0.1019,0.6066,0.155,0.44,0.454,0.2207,0.2749,0.5628,0.5584,0.5479,0.5618,0.5398,0.189,0.5336,0.1756,0.0201,0.5685,0.166,0.5942,0.2156,0.2143,0.4391,0.5941,0.5961,0.6014,0.3141,0.5188,0.3814,0.3832,0.1216,0,0.1504,0.431,0.4481,0.4151,0.4367,0,0.3979,0.2493,0.5953,0.5726,0.6173,0.5827,0.5285,0.216,0.3074,0.6951,0.3814,0.4402,0.5454,0.5434,0.4881,0.533,0.5475
0.0064,0.0392,0.0431,0.0352,0.24,0.2837,0.4875,0.4395,0.4673,0.4648,0.1859,0.2724,0.0658,0.0523,0.4389,0.4435,0.438,0.4474,0.1788,0.1934,0.243,0.2485,0.0152,0.4807,0.4875,0.5192,0.0209,0.0233,0.0712,0.2068,0.2031,0.2236,0.0467,0.1453,0.2517,0.2383,0.1102,0,0.1366,0.2339,0.4159,0.4114,0.2329,0,0.0837,0.0837,0.4363,0.3955,0.5508,0.54,0.26,0.2158,0.3005,0.3165,0.0792,0.0838,0.1233,0.2692,0.2431,0.3522,0.389
0.0352,0.0441,0.1831,0.179,0.1569,0.1357,0.1575,0.1244,0.1417,0.1557,0.0615,0.0817,0.0944,0.1238,0.2955,0.297,0.2331,0.2095,0.0674,0.0483,0.0344,0.0475,0.0488,0.062,0.1931,0.2287,0.0435,0.0521,0.0418,0.088,0.0568,0.0388,0.0293,0.0675,0.1923,0.2072,0.0076,0.0034,0.0807,0.1622,0.1966,0.1828,0.1808,0.0021,0.089,0.0685,0.1566,0.1877,0.1512,0.1896,0.0481,0.0807,0.098,0.1493,0.1678,0.1675,0.1706,0.244,0.2498,0.1555,0.0324
0.2127,0.1617,0.2105,0.1125,0.4376,0.4302,0.3516,0.3516,0.4818,0.4775,0.4211,0.4325,0.198,0.1488,0.5462,0.5598,0.48,0.4997,0.4124,0.3122,0.3984,0.3134,0.0751,0.5309,0.5662,0.5038,0.0995,0.1348,0.2225,0.3584,0.317,0.2883,0.1982,0.3851,0.0806,0.0848,0.2804,0.2219,0.3338,0.3885,0.4732,0.3839,0.453,2e-04,0.2471,0.2899,0.487,0.4849,0.4836,0.5174,0.4067,0.324,0.3779,0.4968,0.4772,0.522,0.5115,0.2524,0.2596,0.4861,0.3395
0.119,0.1113,0.2215,0.1918,0.0269,0.1458,0.0767,0.0862,0.1569,0.0261,0.3548,0.1831,0.0369,0.0446,0.0641,0.0649,0.1756,0.1938,0.1256,0.0373,0.0977,0.0333,0.008,0.1346,0.0397,0.2961,0.1254,0.1344,0.0657,0.2327,0.2729,0.2473,0.056,0.0642,0.0674,0.1205,0,0,0.0726,0.1264,0.0407,0.0377,0.0336,0,0.0876,0.0876,0.0972,0.1018,0.184,0.1747,0.115,0.0887,0.1388,0.219,0.0463,0.0342,0.0768,0.0601,0.0596,0.0079,0.011
0.0083,0.0084,0.3272,0.2746,0.0407,0.0108,0.0986,0.0986,0.0296,0.0353,0.1294,0.017,0.1596,0.1282,0.0644,0.0604,0.0124,0.0104,0.0017,0.0046,0.0013,0.0051,0.0052,0.0196,0.0928,0.04,0.0036,0.0036,0.0149,0.0011,0.1379,0.0936,0.0014,0.0012,0.3916,0.3053,0,0,0.0077,0.0178,0.0218,0.0215,0.0312,0,0.0231,0.0231,0.0478,0.0448,0.021,0.0253,6e-04,0.0152,0.0153,0.0226,0.0035,0.0253,0.0213,0.4591,0.4727,0.0677,2e-04
