run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.04297,0.03767,0,0.02974,0.02974,0.02974,0,0.06592,0.09378,0,0,0,0,0.0375,0.05776,0.00987,0,0.02651,0,0,0.07052,0,0.04688,0.09375,0,0,0.02651,0,0.0125,0.00937,0.02235,0.01705,0.01042,0.02679,0.02679,0.01875,0,0,0,0,0.03948,0.06211,0.11931,0,0.05776,0.07266,0.00987,0.04688,0.04688,0.04688,0,0,0,0.01339,0.0125,0.02355,0.01103,0.01562,0.0375,0.02679,0,0
0.10938,0.02303,0,0,0,0,0.25373,0.11442,0.5146,0.35542,0,0.00446,0,0.51346,0.51179,0.50854,0,0,0,0,0.02431,0,0.23871,0.23871,0,0,0,0,0.00694,0.00781,0,0.44336,0.44189,0.44189,0.4375,0.4375,0.4375,0,0,0,0.24907,0.06042,0.11318,0.03533,0.51179,0.48557,0.50854,0.23706,0.23871,0.21875,0,0,0,0.00781,0.00893,0,0.44336,0.44189,0.44189,0.4375,0.4375,0.4375
0.13209,0.12591,0.31261,0,0,0,0.07391,0.55116,0.60142,0.21783,0.02342,0.05232,0.20567,0.334,0.33402,0.32506,0.36971,0,0.11059,0.20506,0.47999,0.26747,0.22962,0.26803,0.36175,0.13103,0.19638,0.28416,0.43656,0.43464,0.31403,0.53465,0.54892,0.30182,0.44629,0.14854,0.45287,0.35275,0.357,0.35462,0.39938,0.58191,0.56984,0.17289,0.33402,0.31957,0.32506,0.21243,0.21131,0.25361,0.18957,0.23974,0.39947,0.43644,0.43601,0.31465,0.55,0.55751,0.33705,0.44629,0.45287,0.00735
0.11137,0.0918,0.01282,0.12323,0.12323,0.12323,0.15886,0.14441,0.14624,0.13339,0.03914,0.11973,0.12471,0.09463,0.09463,0.09463,0.11137,0,0.10831,0.11137,0.0918,0.12298,0.11233,0.12298,0.1364,0,0.11583,0.12298,0.0918,0.05078,0.0918,0.13565,0.01362,0.10553,0.019,0.0302,0,0,0,0,0.14441,0.12907,0.13365,0.02488,0.09463,0.09463,0.09463,0.00446,0.12582,0,0.11378,0.05814,0.04079,0.09915,0.05078,0.0918,0.13565,0.01362,0.10553,0.019,0,0
0.09762,0.09249,0,0.02537,0.02537,0.02537,0.23713,0.03553,0.0146,0.07263,0.01547,0.08844,0.14477,0,0,0,0.02629,0.15789,0.02095,0.03631,0.30379,0.04079,0.11499,0.13856,0.03202,0.0918,0.15338,0.23992,0.07227,0.08203,0.08492,0.10532,0.1165,0.09505,0.0125,0.00893,0,0,0,0,0.02133,0.0752,0.0873,0.22526,0,0,0,0.11011,0.11499,0.06982,0.00313,0,0.01795,0.08539,0.10095,0.08763,0.10532,0.1165,0.09505,0.0125,0,0
0,0,0,0.09375,0.09375,0.09375,0.09375,0.07951,0.07198,0.4375,0,0.02679,0.01875,0.4612,0.4612,0.4375,0,0.03125,0,0,0.0625,0.0625,0.1875,0.09375,0,0.0625,0.0625,0.0625,0.04688,0.0375,0.0625,0.0625,0,0.0625,0.01442,0.01562,0,0,0,0,0.07305,0.09674,0.0696,0,0.4612,0.47878,0.4375,0.1875,0.1875,0.01172,0.03125,0,0,0.0625,0.0375,0.0625,0.0625,0,0.0625,0.01442,0,0
0.04752,0.04171,0,0,0,0,0.01749,0,0,0,0,0,0.06535,0.03712,0.03712,0.03802,0,0,0.02083,0.02083,0.12729,0.01056,0.00625,0,0.00693,0.08929,0.05291,0.05055,0.00887,0.01171,0.03342,0.0551,0.05351,0.01678,0.0594,0.05846,0.02519,0.02655,0.03058,0.02858,0,0,0,0,0.03712,0.03531,0.03802,0.00481,0,0.00417,0.0454,0.06348,0.08761,0.00521,0.01749,0.04223,0.0551,0.05351,0.01678,0.0594,0.02519,0.02565
0.01543,0.01408,0.02083,0,0,0,0,0.01044,0,0.02083,0.03922,0.02109,0.1425,0,0,0,0.01907,0.03893,0,0,0.05739,0.03284,0.03491,0.03125,0.00625,0.07297,0.14081,0.17521,0.16037,0.16802,0.17412,0.04627,0.00972,0.00313,0,0,0,0.05078,0.03548,0.05078,0.0071,0.01562,0.0125,0.05295,0,0,0,0.03125,0.03125,0.00893,0,0.00313,0,0.0715,0.14068,0.06353,0.04627,0.00972,0.00313,0,0,0
0,0,0,0.13241,0.13241,0.13241,0,0.11348,0.11348,0.0625,0.08861,0.08861,0,0.07179,0.07043,0.01667,0,0,0,0,0,0,0,0,0,0,0,0,0.0639,0.05757,0,0.0625,0.0625,0.0625,0,0,0,0,0,0,0.14194,0.12093,0.12093,0.08808,0.07043,0.03125,0.01667,0,0,0,0,0,0,0.08353,0.07491,0,0.0625,0.0625,0.0625,0,0,0
0.16771,0.24571,0.08502,0.01226,0.01226,0.01226,0.20684,0.23913,0.07247,0.14399,0.04662,0.03142,0.02489,0.09515,0.06168,0.11567,0.11485,0,0.12893,0.12566,0.26467,0.14462,0.09729,0.09602,0.10095,0.01172,0.01625,0,0.25743,0.20673,0.12102,0.13406,0.24751,0.15671,0.10421,0.23162,0.11647,0.07422,0.08203,0.07715,0.18815,0.23861,0.24136,0.05179,0.06168,0.088,0.11567,0.00568,0.0743,0,0.04718,0.01387,0.05192,0.26815,0.20278,0.13163,0.11811,0.10764,0.17872,0.10421,0.11647,0.23427
